;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
AFIG;DenominationObjet;IllustrationSujet;ProfessionAfig;ProfessionAuteurOeuvreArchitecture;ProfessionAuteurOeuvreObjet;RepresentationTheme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ATEL;DenominationArchi;IllustrationSujet;ProfessionAtelierEcole;ProfessionAuteurOeuvreObjet;RepresentationTheme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUTR;DenominationArchi;DenominationObjet;IllustrationSujet;ProfessionAfig;ProfessionAtelierEcole;ProfessionAuteurOeuvreArchitecture;ProfessionAuteurOeuvreObjet;RepresentationTheme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CATE;Categorie;DenominationArchi;DenominationObjet;IllustrationSujet;MateriauPrincipal;MateriauTechnique;MurMiseEnOeuvre;RepresentationTheme;RepresentationValeur;StructureLibelle;Technique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DENO;AdresseTypeVoie;Categorie;CouvertureType;CouvrementValeur;DenominationArchi;DenominationObjet;EnergieMachine;EscalierForme;IllustrationSujet;InscriptionAffixe;InscriptionValeur;Jardin;MateriauAffixe;MateriauPrincipal;MateriauTechnique;MurMateriauGrosOeuvre;MurMiseEnOeuvre;MurRevetement;ProfessionAfig;ProfessionAuteurOeuvreObjet;ProfessionPersonnalite;RepresentationCaractereGeneral;RepresentationSymbole;RepresentationTheme;RepresentationValeur;StadeCreation;StructureLibelle;Technique;Toit;;;;;;;;;;;
DEPL;DeplacementOeuvreObjet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DPRO;ProtectionOeuvreArchi;ProtectionOeuvreObjet;SiteProtection;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETAT;DenominationObjet;EtatConservationArchi;EtatConservationObjet;IllustrationSujet;LieuExecution;Origine;RepresentationCaractereGeneral;RepresentationValeur;StadeCreation;Statut;Toit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EXEC;EtatConservationObjet;LieuExecution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSC;DenominationObjet;IllustrationSujet;InscriptionAffixe;InscriptionValeur;JustificationProfession;LieuExecution;MateriauTechnique;Origine;RepresentationTheme;RepresentationValeur;StadeCreation;Statut;Toit;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATR;Categorie;DenominationArchi;DenominationObjet;IllustrationSujet;IllustrationTechniqueReleve;InscriptionAffixe;MateriauAffixe;MateriauPrincipal;MateriauTechnique;MurMateriauGrosOeuvre;MurMiseEnOeuvre;MurRevetement;RepresentationCaractereGeneral;RepresentationTheme;RepresentationValeur;StadeCreation;StructureAffixe;StructureLibelle;Technique;Toit;;;;;;;;;;;;;;;;;;;;
ORIG;EtatConservationObjet;Origine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REPR;AdresseTypeVoie;AireEtude;Canton;Categorie;Commune;CouvertureForme;CouvertureType;CouvrementValeur;DatationPeriode;DenominationArchi;DenominationObjet;EnergieMachine;EnergieNature;EscalierForme;EtatConservationObjet;IllustrationSens;IllustrationSujet;InscriptionAffixe;InscriptionValeur;Jardin;MateriauAffixe;MateriauPrincipal;MateriauTechnique;MurMateriauGrosOeuvre;MurMiseEnOeuvre;MurRevetement;ProfessionAfig;ProfessionAtelierEcole;ProfessionAuteurOeuvreArchitecture;ProfessionAuteurOeuvreObjet;RepresentationCaractereGeneral;RepresentationSymbole;RepresentationTheme;RepresentationValeur;StadeCreation;StructureAffixe;StructureLibelle;Technique;Toit;TypeDossier
STAD;DenominationObjet;EtatConservationObjet;IllustrationSujet;InscriptionAffixe;MateriauPrincipal;RepresentationTheme;RepresentationValeur;StadeCreation;StadeCreationAffixe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STRU;DenominationArchi;DenominationObjet;EscalierStructure;IllustrationSens;IllustrationSujet;MateriauAffixe;MateriauPrincipal;MateriauTechnique;MurMateriauGrosOeuvre;RepresentationCaractereGeneral;RepresentationTheme;RepresentationValeur;StructureAffixe;StructureLibelle;;;;;;;;;;;;;;;;;;;;;;;;;;
